Date Collected,MLVA Type,MLVA Loci Size
12/03/2008,3-12-9-10-550,162-241-312-365-550
12/03/2008,3-12-9-10-550,162-241-312-365-550
12/03/2008,3-14-9-11-523,162-253-312-371-523
12/03/2008,5-14-9-9-490,180-253-312-359-490
13/03/2008,3-10-15-11-523,162-229-348-371-523
13/03/2008,3-10-15-11-523,162-229-348-371-523
13/03/2008,3-12-10-12-523,162-241-318-377-523
13/03/2008,3-12-11-10-523,162-241-324-365-523
13/03/2008,3-12-9-10-550,162-241-312-365-550
13/03/2008,3-12-9-10-550,162-241-312-365-550
13/03/2008,3-12-9-10-550,162-241-312-365-550
13/03/2008,3-12-9-10-550,162-241-312-365-550
14/03/2008,3-10-8-9-523,162-229-306-359-523
14/03/2008,3-12-9-10-550,162-241-312-365-550
14/03/2008,3-12-9-10-550,162-241-312-365-550
14/03/2008,3-12-9-10-550,162-241-312-365-550
14/03/2008,3-9-8-12-523,162-223-306-377-523
14/03/2008,3-9-8-12-523,162-223-306-377-523
14/03/2008,3-9-8-12-523,162-223-306-377-523
14/03/2008,5-21-8-12-457,180-295-306-377-457
15/03/2008,3-10-8-9-523,162-229-306-359-523
15/03/2008,3-10-8-9-523,162-229-306-359-523
15/03/2008,3-9-7-12-523,162-223-300-377-523
15/03/2008,5-13-14-11-490,180-247-342-371-490
15/03/2008,5-22-9-9-490,180-301-312-359-490
16/03/2008,4-17-13-0-517,171-271-336-0-517
17/03/2008,3-12-9-10-550,162-241-312-365-550
17/03/2008,3-12-9-10-550,162-241-312-365-550
17/03/2008,3-13-11-10-523,162-247-324-365-523
18/03/2008,3-10-8-9-523,162-229-306-359-523
18/03/2008,3-10-8-9-523,162-229-306-359-523
18/03/2008,3-12-11-10-523,162-241-324-365-523
18/03/2008,3-12-9-10-550,162-241-312-365-550
18/03/2008,3-12-9-10-550,162-241-312-365-550
18/03/2008,3-12-9-10-550,162-241-312-365-550
18/03/2008,3-13-10-12-523,162-247-318-377-523
18/03/2008,3-13-15-9-523,162-247-348-359-523
19/03/2008,3-10-8-9-523,162-229-306-359-523
19/03/2008,3-12-9-10-550,162-241-312-365-550
19/03/2008,3-12-9-10-550,162-241-312-365-550
19/03/2008,3-13-15-9-523,162-247-348-359-523
19/03/2008,3-21-7-13-523,162-295-300-383-523
19/03/2008,5-21-8-12-457,180-295-306-377-457
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-12-9-10-550,162-241-312-365-550
20/03/2008,3-13-10-12-523,162-247-318-377-523
20/03/2008,3-13-8-11-523,162-247-306-371-523
20/03/2008,3-15-0-0-517,162-259-0-0-517
20/03/2008,3-17-16-13-523,162-271-354-383-523
21/03/2008,3-12-9-10-550,162-241-312-365-550
21/03/2008,3-12-9-10-550,162-241-312-365-550
21/03/2008,3-12-9-10-550,162-241-312-365-550
22/03/2008,3-12-9-10-550,162-241-312-365-550
22/03/2008,3-12-9-10-550,162-241-312-365-550
23/03/2008,3-12-12-10-523,162-241-330-365-523
23/03/2008,3-12-9-10-550,162-241-312-365-550
23/03/2008,3-17-16-13-523,162-271-354-383-523
23/03/2008,3-25-20-11-523,162-319-378-371-523
23/03/2008,5-14-9-9-490,180-253-312-359-490
24/03/2008,4-15-11-0-490,171-259-324-0-490
25/03/2008,3-10-8-9-523,162-229-306-359-523
25/03/2008,3-11-10-11-523,162-235-318-371-523
25/03/2008,3-12-9-10-550,162-241-312-365-550
25/03/2008,3-12-9-10-550,162-241-312-365-550
25/03/2008,3-12-9-10-550,162-241-312-365-550
25/03/2008,3-12-9-10-550,162-241-312-365-550
25/03/2008,3-17-16-13-523,162-271-354-383-523
25/03/2008,3-17-16-13-523,162-271-354-383-523
25/03/2008,4-17-0-0-517,171-271-0-0-517
25/03/2008,5-14-9-9-490,180-253-312-359-490
26/03/2008,3-10-14-11-523,162-229-342-371-523
26/03/2008,3-10-8-9-523,162-229-306-359-523
26/03/2008,3-11-10-10-523,162-235-318-365-523
26/03/2008,3-12-11-12-523,162-241-324-377-523
26/03/2008,3-12-12-10-523,162-241-330-365-523
26/03/2008,3-12-9-10-550,162-241-312-365-550
26/03/2008,3-12-9-10-550,162-241-312-365-550
26/03/2008,3-12-9-10-550,162-241-312-365-550
26/03/2008,3-13-12-12-523,162-247-330-377-523
26/03/2008,3-16-14-12-523,162-265-342-377-523
26/03/2008,3-17-16-13-523,162-271-354-383-523
26/03/2008,3-9-8-12-523,162-223-306-377-523
26/03/2008,5-14-9-9-490,180-253-312-359-490
27/03/2008,3-12-9-10-550,162-241-312-365-550
27/03/2008,3-12-9-10-550,162-241-312-365-550
27/03/2008,3-12-9-10-550,162-241-312-365-550
27/03/2008,3-16-12-12-523,162-265-330-377-523
27/03/2008,3-23-17-11-523,162-307-360-371-523
28/03/2008,3-10-9-9-523,162-229-312-359-523
28/03/2008,3-12-10-10-523,162-241-318-365-523
28/03/2008,3-12-9-10-550,162-241-312-365-550
28/03/2008,3-17-16-13-523,162-271-354-383-523
28/03/2008,4-14-0-0-463,171-253-0-0-463
29/03/2008,3-12-9-10-550,162-241-312-365-550
29/03/2008,3-12-9-10-550,162-241-312-365-550
29/03/2008,3-17-16-13-523,162-271-354-383-523
30/03/2008,3-12-9-10-550,162-241-312-365-550
30/03/2008,3-17-16-13-523,162-271-354-383-523
31/03/2008,3-10-9-9-523,162-229-312-359-523
31/03/2008,3-12-9-10-550,162-241-312-365-550
31/03/2008,3-12-9-10-550,162-241-312-365-550
31/03/2008,3-12-9-12-523,162-241-312-377-523
31/03/2008,3-12-9-12-523,162-241-312-377-523
31/03/2008,3-9-7-13-523,162-223-300-383-523
1/04/2008,3-12-8-10-550,162-241-306-365-550
1/04/2008,3-12-9-10-550,162-241-312-365-550
1/04/2008,4-14-0-0-463,171-253-0-0-463
1/04/2008,4-14-0-0-463,171-253-0-0-463
2/04/2008,3-12-9-10-550,162-241-312-365-550
2/04/2008,3-12-9-10-550,162-241-312-365-550
2/04/2008,5-21-8-12-457,180-295-306-377-457
3/04/2008,3-12-10-10-523,162-241-318-365-523
3/04/2008,3-12-10-10-523,162-241-318-365-523
3/04/2008,3-12-9-10-550,162-241-312-365-550
3/04/2008,3-17-16-13-523,162-271-354-383-523
3/04/2008,3-9-8-12-523,162-223-306-377-523
3/04/2008,3-9-8-12-523,162-223-306-377-523
4/04/2008,3-10-8-9-523,162-229-306-359-523
4/04/2008,3-10-8-9-523,162-229-306-359-523
4/04/2008,3-10-9-9-523,162-229-312-359-523
4/04/2008,3-12-9-10-550,162-241-312-365-550
4/04/2008,3-9-8-12-523,162-223-306-377-523
5/04/2008,3-12-9-10-550,162-241-312-365-550
5/04/2008,3-12-9-10-550,162-241-312-365-550
5/04/2008,3-17-16-12-523,162-271-354-377-523
5/04/2008,3-17-16-13-523,162-271-354-383-523
5/04/2008,5-16-14-10-490,180-265-342-365-490
6/04/2008,3-10-8-9-523,162-229-306-359-523
6/04/2008,4-15-15-0-490,171-259-348-0-490
7/04/2008,3-10-8-9-523,162-229-306-359-523
7/04/2008,3-11-9-11-523,162-235-312-371-523
7/04/2008,3-12-9-10-550,162-241-312-365-550
7/04/2008,3-12-9-11-523,162-241-312-371-523
7/04/2008,3-13-8-12-523,162-247-306-377-523
7/04/2008,3-17-16-13-523,162-271-354-383-523
7/04/2008,3-17-16-13-523,162-271-354-383-523
7/04/2008,3-9-8-13-523,162-223-306-383-523
7/04/2008,4-16-14-0-517,171-265-342-0-517
7/04/2008,5-15-14-11-490,180-259-342-371-490
8/04/2008,3-10-8-9-523,162-229-306-359-523
8/04/2008,3-11-8-9-523,162-235-306-359-523
8/04/2008,3-12-12-12-523,162-241-330-377-523
8/04/2008,3-12-9-10-550,162-241-312-365-550
8/04/2008,3-12-9-10-550,162-241-312-365-550
9/04/2008,3-12-12-9-523,162-241-330-359-523
9/04/2008,3-12-9-10-550,162-241-312-365-550
9/04/2008,3-13-15-9-523,162-247-348-359-523
9/04/2008,3-9-8-12-523,162-223-306-377-523
10/04/2008,3-10-8-9-523,162-229-306-359-523
10/04/2008,3-11-7-13-523,162-235-300-383-523
10/04/2008,5-15-13-12-490,180-259-336-377-490
11/04/2008,3-12-9-10-550,162-241-312-365-550
13/04/2008,3-12-9-10-550,162-241-312-365-550
13/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,3-10-8-9-523,162-229-306-359-523
14/04/2008,3-12-9-0-550,162-241-312-0-550
14/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,3-12-9-10-550,162-241-312-365-550
14/04/2008,4-12-0-0-463,171-241-0-0-463
15/04/2008,3-12-10-12-523,162-241-318-377-523
15/04/2008,3-12-9-10-550,162-241-312-365-550
15/04/2008,3-12-9-10-550,162-241-312-365-550
15/04/2008,3-15-0-0-517,162-259-0-0-517
15/04/2008,3-9-8-12-523,162-223-306-377-523
15/04/2008,3-9-8-12-523,162-223-306-377-523
15/04/2008,3-9-8-12-523,162-223-306-377-523
15/04/2008,5-15-14-11-490,180-259-342-371-490
16/04/2008,3-12-9-10-550,162-241-312-365-550
16/04/2008,3-12-9-10-550,162-241-312-365-550
16/04/2008,4-12-0-0-463,171-241-0-0-463
17/04/2008,3-12-9-12-523,162-241-312-377-523
17/04/2008,3-14-8-13-523,162-253-306-383-523
18/04/2008,3-12-9-10-550,162-241-312-365-550
18/04/2008,3-12-9-10-550,162-241-312-365-550
18/04/2008,5-15-9-9-490,180-259-312-359-490
19/04/2008,3-12-9-10-550,162-241-312-365-550
19/04/2008,3-13-8-12-523,162-247-306-377-523
19/04/2008,4-15-6-13-517,171-259-294-383-517
21/04/2008,3-12-9-10-550,162-241-312-365-550
21/04/2008,3-12-9-10-550,162-241-312-365-550
21/04/2008,3-12-9-10-550,162-241-312-365-550
21/04/2008,3-14-8-13-523,162-253-306-383-523
21/04/2008,3-16-16-13-523,162-265-354-383-523
21/04/2008,3-16-16-13-523,162-265-354-383-523
22/04/2008,3-12-10-10-523,162-241-318-365-523
22/04/2008,3-12-9-10-550,162-241-312-365-550
22/04/2008,3-12-9-10-550,162-241-312-365-550
22/04/2008,3-12-9-10-550,162-241-312-365-550
22/04/2008,3-12-9-10-550,162-241-312-365-550
22/04/2008,3-12-9-10-550,162-241-312-365-550
22/04/2008,3-16-16-13-523,162-265-354-383-523
22/04/2008,3-16-16-14-523,162-265-354-389-523
22/04/2008,3-9-9-12-523,162-223-312-377-523
23/04/2008,3-10-8-9-523,162-229-306-359-523
23/04/2008,3-12-9-10-550,162-241-312-365-550
23/04/2008,3-12-9-10-550,162-241-312-365-550
23/04/2008,3-12-9-10-550,162-241-312-365-550
24/04/2008,3-12-9-10-550,162-241-312-365-550
24/04/2008,3-14-8-12-523,162-253-306-377-523
24/04/2008,3-16-17-14-523,162-265-360-389-523
24/04/2008,4-13-10-0-490,171-247-318-0-490
24/04/2008,5-14-9-9-490,180-253-312-359-490
25/04/2008,3-12-10-12-523,162-241-318-377-523
26/04/2008,3-10-14-11-496,162-229-342-371-496
26/04/2008,3-10-9-9-523,162-229-312-359-523
26/04/2008,3-12-9-10-550,162-241-312-365-550
26/04/2008,3-13-8-11-523,162-247-306-371-523
26/04/2008,4-16-14-23-517,171-265-342-443-517
27/04/2008,3-12-9-10-550,162-241-312-365-550
28/04/2008,3-10-13-11-496,162-229-336-371-496
28/04/2008,3-12-9-10-550,162-241-312-365-550
28/04/2008,3-12-9-10-550,162-241-312-365-550
28/04/2008,3-12-9-10-550,162-241-312-365-550
28/04/2008,3-13-14-10-523,162-247-342-365-523
28/04/2008,5-13-9-9-490,180-247-312-359-490
29/04/2008,3-10-8-9-523,162-229-306-359-523
29/04/2008,3-12-10-12-523,162-241-318-377-523
29/04/2008,3-12-10-12-523,162-241-318-377-523
29/04/2008,3-12-10-12-523,162-241-318-377-523
29/04/2008,3-12-11-14-523,162-241-324-389-523
29/04/2008,3-12-9-10-550,162-241-312-365-550
29/04/2008,3-15-11-9-523,162-259-324-359-523
29/04/2008,3-17-16-13-523,162-271-354-383-523
29/04/2008,3-20-13-12-523,162-289-336-377-523
29/04/2008,4-16-0-0-463,171-265-0-0-463
29/04/2008,5-13-9-9-490,180-247-312-359-490
30/04/2008,3-10-14-11-496,162-229-342-371-496
30/04/2008,3-10-8-9-523,162-229-306-359-523
30/04/2008,3-10-8-9-523,162-229-306-359-523
30/04/2008,3-10-8-9-523,162-229-306-359-523
30/04/2008,3-12-9-10-550,162-241-312-365-550
30/04/2008,3-12-9-10-550,162-241-312-365-550
30/04/2008,3-12-9-10-550,162-241-312-365-550
30/04/2008,3-9-7-12-523,162-223-300-377-523
30/04/2008,3-9-9-11-523,162-223-312-371-523
1/05/2008,3-10-14-11-496,162-229-342-371-496
1/05/2008,3-10-8-9-523,162-229-306-359-523
1/05/2008,3-12-10-12-523,162-241-318-377-523
1/05/2008,3-12-10-12-523,162-241-318-377-523
1/05/2008,3-12-10-12-523,162-241-318-377-523
1/05/2008,3-12-10-12-523,162-241-318-377-523
1/05/2008,3-12-10-12-523,162-241-318-377-523
1/05/2008,3-12-9-10-550,162-241-312-365-550
1/05/2008,3-12-9-10-550,162-241-312-365-550
1/05/2008,3-12-9-10-550,162-241-312-365-550
1/05/2008,3-12-9-10-550,162-241-312-365-550
1/05/2008,3-12-9-10-550,162-241-312-365-550
1/05/2008,4-16-10-0-517,171-265-318-0-517
2/05/2008,3-10-8-9-523,162-229-306-359-523
2/05/2008,3-12-10-12-523,162-241-318-377-523
2/05/2008,3-12-10-12-523,162-241-318-377-523
2/05/2008,3-12-10-13-523,162-241-318-383-523
2/05/2008,3-15-0-0-517,162-259-0-0-517
